stop id,arrival time,route,trip id
2821,2018-04-18T00:23:19,801,2005756
591,2018-04-18T00:31:49,481,1994159
2821,2018-04-18T00:34:49,275,1989647
610,2018-04-18T00:44:49,481,1994159
4039,2018-04-18T00:52:49,486,1994442
591,2018-04-18T00:57:49,481,1994163
610,2018-04-18T01:07:49,481,1994163
591,2018-04-18T01:11:49,481,1994158
610,2018-04-18T01:21:49,481,1994158
4039,2018-04-18T01:25:49,486,1994445
591,2018-04-18T01:31:49,481,1994157
610,2018-04-18T01:42:49,481,1994157
4039,2018-04-18T01:51:49,486,1994441
591,2018-04-18T01:55:49,481,1994162
610,2018-04-18T02:04:19,481,1994162
591,2018-04-18T02:11:49,481,1994156
610,2018-04-18T02:21:49,481,1994156
4039,2018-04-18T02:25:49,486,1994444
591,2018-04-18T02:32:50,481,1994155
610,2018-04-18T02:42:50,481,1994155
4039,2018-04-18T02:50:49,486,1994440
591,2018-04-18T02:51:49,481,1994161
610,2018-04-18T03:02:49,481,1994161
591,2018-04-18T03:11:49,481,1994164
4039,2018-04-18T03:20:49,486,1994443
610,2018-04-18T03:22:19,481,1994164
4039,2018-04-18T03:54:49,486,1994439
559,2018-04-18T04:52:49,1,1985684
4039,2018-04-18T05:05:49,1,1985684
2821,2018-04-18T05:06:49,275,1989645
559,2018-04-18T05:08:49,801,2005706
591,2018-04-18T05:17:49,1,1985684
559,2018-04-18T05:18:49,1,1985683
4039,2018-04-18T05:18:49,801,2005706
591,2018-04-18T05:19:49,803,2006771
559,2018-04-18T05:22:49,801,2005705
591,2018-04-18T05:23:49,3,1989839
591,2018-04-18T05:31:19,801,2005706
591,2018-04-18T05:32:49,803,2006770
4039,2018-04-18T05:33:49,1,1985683
610,2018-04-18T05:33:49,1,1985684
4039,2018-04-18T05:35:19,801,2005705
591,2018-04-18T05:35:19,19,1987657
2821,2018-04-18T05:36:19,275,1989644
559,2018-04-18T05:37:49,801,2005992
610,2018-04-18T05:41:49,801,2005706
591,2018-04-18T05:43:49,5,1994663
591,2018-04-18T05:45:49,18,1987428
591,2018-04-18T05:47:49,1,1985683
2821,2018-04-18T05:47:49,240,1989226
591,2018-04-18T05:49:19,801,2005705
591,2018-04-18T05:49:49,803,2006769
559,2018-04-18T05:50:49,1,1985682
4039,2018-04-18T05:50:49,801,2005992
559,2018-04-18T05:52:49,801,2005991
2821,2018-04-18T05:59:49,801,2005706
591,2018-04-18T06:00:49,3,1989838
591,2018-04-18T06:01:49,801,2005992
610,2018-04-18T06:01:49,801,2005705
4039,2018-04-18T06:03:49,801,2005991
610,2018-04-18T06:03:49,1,1985683
4039,2018-04-18T06:04:49,1,1985682
591,2018-04-18T06:04:49,803,2006768
2821,2018-04-18T06:04:49,275,1989643
559,2018-04-18T06:06:49,801,2005990
591,2018-04-18T06:14:19,1,1985682
591,2018-04-18T06:14:49,18,1987426
610,2018-04-18T06:14:49,801,2005992
591,2018-04-18T06:15:49,5,1994669
591,2018-04-18T06:16:19,801,2005991
2821,2018-04-18T06:16:49,801,2005705
591,2018-04-18T06:17:49,803,2006767
4039,2018-04-18T06:19:49,801,2005990
559,2018-04-18T06:22:49,1,1985681
559,2018-04-18T06:24:19,801,2005989
2821,2018-04-18T06:24:51,240,1989225
610,2018-04-18T06:28:19,801,2005991
2821,2018-04-18T06:30:49,801,2005992
591,2018-04-18T06:31:49,801,2005990
559,2018-04-18T06:33:49,801,2005988
591,2018-04-18T06:33:49,803,2006766
610,2018-04-18T06:33:49,1,1985682
4039,2018-04-18T06:36:19,801,2005989
2821,2018-04-18T06:36:49,275,1989642
591,2018-04-18T06:38:49,19,1987656
4039,2018-04-18T06:39:49,1,1985681
591,2018-04-18T06:42:49,3,1989837
610,2018-04-18T06:42:49,801,2005990
2821,2018-04-18T06:42:49,801,2005991
559,2018-04-18T06:43:49,801,2005987
4039,2018-04-18T06:46:49,801,2005988
591,2018-04-18T06:46:49,5,1994668
591,2018-04-18T06:49:19,801,2005989
559,2018-04-18T06:51:49,1,1985680
559,2018-04-18T06:51:49,801,2005986
591,2018-04-18T06:51:49,18,1987425
591,2018-04-18T06:52:19,803,2006877
591,2018-04-18T06:54:49,1,1985681
4039,2018-04-18T06:56:49,801,2005987
2821,2018-04-18T06:59:49,801,2005990
591,2018-04-18T07:00:49,801,2005988
4039,2018-04-18T07:03:49,801,2005986
610,2018-04-18T07:03:49,801,2005989
559,2018-04-18T07:04:19,801,2005985
2821,2018-04-18T07:05:49,275,1989641
591,2018-04-18T07:07:49,803,2006876
2821,2018-04-18T07:08:49,240,1989224
591,2018-04-18T07:10:19,801,2005987
610,2018-04-18T07:11:49,1,1985681
559,2018-04-18T07:12:49,801,2005984
4039,2018-04-18T07:12:49,1,1985680
610,2018-04-18T07:13:49,801,2005988
591,2018-04-18T07:15:19,801,2005986
591,2018-04-18T07:15:19,3,1989869
4039,2018-04-18T07:17:19,801,2005985
591,2018-04-18T07:19:19,803,2006721
591,2018-04-18T07:20:49,5,1994681
2821,2018-04-18T07:21:49,801,2005989
559,2018-04-18T07:22:49,1,1985679
610,2018-04-18T07:22:49,801,2005987
591,2018-04-18T07:24:49,18,1987424
559,2018-04-18T07:27:19,801,2005983
4039,2018-04-18T07:28:49,801,2005984
591,2018-04-18T07:29:49,1,1985680
610,2018-04-18T07:29:49,801,2005986
2821,2018-04-18T07:31:49,801,2005988
559,2018-04-18T07:32:49,801,2005982
591,2018-04-18T07:32:19,801,2005985
591,2018-04-18T07:32:49,803,2006720
591,2018-04-18T07:39:50,5,1994674
4039,2018-04-18T07:41:49,1,1985679
591,2018-04-18T07:41:49,19,1987636
591,2018-04-18T07:42:19,801,2005984
2821,2018-04-18T07:42:49,801,2005987
591,2018-04-18T07:43:49,803,2006719
610,2018-04-18T07:45:19,801,2005985
2821,2018-04-18T07:45:19,275,1989640
591,2018-04-18T07:45:49,5,1994691
